,lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel
3252,JQCN/,,,,,,,,,,,,,,,,,
3253,JQT>L/,,,,,,,,,,,,,,,,,
3254,JR>/,"bange for, angst (adj)",,,,,,,,,,,,,,,,
3255,JR>[,,"frygt, være bange","være frygtfuld, være frygteligt",gøre bange,,,,,,,,,,,,,
3256,JR>H/,"frygt, gudsfrygt",,,,,,,,,,,,,,,,
3257,JR>WN/,,,,,,,,,,,,,,,,,
3258,JR>JJH/,,,,,,,,,,,,,,,,,
3259,JRB/,,,,,,,,,,,,,,,,,
3260,JRB<L/,,,,,,,,,,,,,,,,,
3261,JRB<M/,Jeroboam,,,,,,,,,,,,,,,,
3262,JRBCT/,,,,,,,,,,,,,,,,,
3263,JRD/,,,,,,,,,,,,,,,,,
3264,JRD[,,gå ned,,,,,"bringe ned, tage ned","blive bragt ned, blive taget ned",,,,,,,,,
3265,JRDN/,Jordan,,,,,,,,,,,,,,,,
3266,JRH===[,,,,,,,,,,,,,,,,,
3267,JRH==[,,,,,,,,,,,,,,,,,
3268,JRH=[,,"kaste, skyde",skydes,,,,,,,,,,,,,,
3269,JRH[,,,,,,,"undervise, instruere i",,,,,,,,,,
3270,JRW>L/,,,,,,,,,,,,,,,,,
3271,JRWX/,,,,,,,,,,,,,,,,,
3272,JRWQ/,,,,,,,,,,,,,,,,,
3273,JRWC>/,,,,,,,,,,,,,,,,,
3274,JRWCLM/,Jerusalem,,,,,,,,,,,,,,,,
3275,JRX/,,,,,,,,,,,,,,,,,
3276,JRX=/,måne,,,,,,,,,,,,,,,,
3277,JRX==/,,,,,,,,,,,,,,,,,
3278,JRXM/,,,,,,,,,,,,,,,,,
3279,JRXM>L/,,,,,,,,,,,,,,,,,
3280,JRXM>LJ/,,,,,,,,,,,,,,,,,
3281,JRX</,,,,,,,,,,,,,,,,,
3282,JRV[,,,,,,,,,,,,,,,,,
3283,JRJ>L/,,,,,,,,,,,,,,,,,
3284,JRJB/,,,,,,,,,,,,,,,,,
3285,JRJB=/,,,,,,,,,,,,,,,,,
3286,JRJBJ/,,,,,,,,,,,,,,,,,
3287,JRJH/,,,,,,,,,,,,,,,,,
3288,JRJHW/,,,,,,,,,,,,,,,,,
3289,JRJXW/,,,,,,,,,,,,,,,,,
3290,JRJMWT/,,,,,,,,,,,,,,,,,
3291,JRJ<H/,forhæng,,,,,,,,,,,,,,,,
3292,JRJ<WT/,,,,,,,,,,,,,,,,,
3293,JRK/,,,,,,,,,,,,,,,,,
3294,JRKH/,"fjernliggende, bagerst, nederst",,,,,,,,,,,,,,,,
3295,JRMWT/,,,,,,,,,,,,,,,,,
3296,JRMWT=/,,,,,,,,,,,,,,,,,
3297,JRMJ/,,,,,,,,,,,,,,,,,
3298,JRMJH/,Jeremias,,,,,,,,,,,,,,,,
3299,JRMJHW/,"Jeremias, Jirmeja ",,,,,,,,,,,,,,,,
3300,JR<[,,,,,,,,,,,,,,,,,
3301,JRP>L/,,,,,,,,,,,,,,,,,
3302,JRQ/,"planter, det grønne",,,,,,,,,,,,,,,,
3303,JRQ=/,,,,,,,,,,,,,,,,,
